var,mu,std
LIMIT_BAL,167740.93714285715,130153.09010553706
AGE,35.383,9.19344241030465
BILL_AMT1,50979.60680952381,72864.52968327442
BILL_AMT2,48912.38090476191,70396.08822429778
BILL_AMT3,46942.40033333333,69285.74979789976
BILL_AMT4,43314.45685714285,63918.12082731536
BILL_AMT5,40308.64895238095,59988.9646328452
BILL_AMT6,38981.691666666666,59045.29890710529
PAY_AMT1,5637.464666666667,16814.085057081345
PAY_AMT2,6040.18319047619,25160.774291720743
PAY_AMT3,5260.810285714286,17134.290920211817
PAY_AMT4,4834.974857142857,16002.706562608555
PAY_AMT5,4922.472333333333,16184.772148063556
PAY_AMT6,5208.643761904762,17288.037291171087
